rice
beans
garri
flour
fruits
plantain
potato
yam
beverages
juice
milk
groundnut
butter
jam
bread 
cornflakes 
groundnut oil
oil
pepper
onion
seasoning
egg
spaghetti
semovita 
indomie
tomatopaste
golden morn 
wheats 
yam flour
sugar
flour
quaker oats
custard
sardine
corned beef
tuna fish
sweet potatoes
pancakes
french toast
akara
cereals
corn
pasta
milk
yogurt
fish
pancakes
shrimps
fruits
cake
doughnut
chin chin
cookies
pap
vegetables
suya
burger
chocolate
chicken
pizza
honey
cheese
